"693E15","05025-P.DIV"
"770E15","12042"
"753E15","07074-HERB"
"1137C15","0271827B6"
"1117C15","02B101022"
"1117C15","02NT2725"
"1117C15","02NIT5"
"1310C15","21115"
"1117C15","02SA5"
"1117C15","211125"
"1133C15","020030B"
"1133C15","02NT274B"
"749E15","04F1101"
"749E15","050681-FUNG"
"750E15","664634"
"750E15","04H2306"
"1132C15","2251525"
"1132C15","02B101022"
"1132C15","02SAZ25"
"1166C15","02NT274B"
"1123C15","02NT274B"
"1127C15","211125"
"1127C15","101691"
"1127C15","12181"
"1127C15","02A81212"
"743E15","12033"
"743E15","05117-FUNG"
"743E15","12007"
"778E15","09HERB3"
"1151C15","01BC500"
"804E15","64454"
"1201C15","02NIT5"
"1201C15","21115"
"804E15","12201"
"1161C15","02SULF21B"
"1154C15","01ORGB"
"1202C15","22625"
"1391C15","02121120B"
"784E15","12037"
"1171C15","211125"
"1171C15","02NT2725"
"1171C15","2.122E+28"
"1171C15","2581530"
"1477C15","704299"
"1196C15","02NT274B600"
"1145C15","01BC500"
"1155C15","0226B500"
"782E15","04H3211"
"782E15","12003"
